id,temporada,antelacion,competicion,rival,interes,interes_acumulado,%cr
22/23 · UCL · Viktoria Plzen,22/23,-9,UCL,Viktoria Plzen,15.864,15.864,"2,6"
22/23 · UCL · Viktoria Plzen,22/23,-8,UCL,Viktoria Plzen,16.880,32.744,"2,9"
22/23 · UCL · Viktoria Plzen,22/23,-7,UCL,Viktoria Plzen,10.700,43.444,"3,4"
22/23 · UCL · Viktoria Plzen,22/23,-6,UCL,Viktoria Plzen,9.810,53.254,"5,3"
22/23 · UCL · Viktoria Plzen,22/23,-5,UCL,Viktoria Plzen,8.573,61.827,"4,1"
22/23 · UCL · Viktoria Plzen,22/23,-4,UCL,Viktoria Plzen,7.041,68.868,"4,8"
22/23 · UCL · Viktoria Plzen,22/23,-3,UCL,Viktoria Plzen,9.241,78.109,"4,8"
22/23 · UCL · Viktoria Plzen,22/23,-2,UCL,Viktoria Plzen,11.225,89.334,"6,3"
22/23 · UCL · Viktoria Plzen,22/23,-1,UCL,Viktoria Plzen,16.245,105.579,"7,0"
22/23 · UCL · Viktoria Plzen,22/23,0,UCL,Viktoria Plzen,14.327,119.906,"7,9"
22/23 · UCL · Inter,22/23,-43,UCL,Inter,7.736,7.736,"2,1"
22/23 · UCL · Inter,22/23,-42,UCL,Inter,5.949,13.685,"2,3"
22/23 · UCL · Inter,22/23,-41,UCL,Inter,9.298,22.983,"11,4"
22/23 · UCL · Inter,22/23,-40,UCL,Inter,5.595,28.578,"6,8"
22/23 · UCL · Inter,22/23,-39,UCL,Inter,4.353,32.931,"5,8"
22/23 · UCL · Inter,22/23,-38,UCL,Inter,4.718,37.649,"5,0"
22/23 · UCL · Inter,22/23,-37,UCL,Inter,4.886,42.535,"6,3"
22/23 · UCL · Inter,22/23,-36,UCL,Inter,5.554,48.089,"5,4"
22/23 · UCL · Inter,22/23,-35,UCL,Inter,6.625,54.714,"4,2"
22/23 · UCL · Inter,22/23,-34,UCL,Inter,659,55.373,"3,4"
22/23 · UCL · Inter,22/23,-33,UCL,Inter,4.236,59.609,"0,0"
22/23 · UCL · Inter,22/23,-32,UCL,Inter,4.297,63.906,"0,0"
22/23 · UCL · Inter,22/23,-31,UCL,Inter,5.645,69.551,"0,0"
22/23 · UCL · Inter,22/23,-30,UCL,Inter,5.922,75.473,"0,0"
22/23 · UCL · Inter,22/23,-29,UCL,Inter,7.222,82.695,"0,0"
22/23 · UCL · Inter,22/23,-28,UCL,Inter,7.069,89.764,"0,0"
22/23 · UCL · Inter,22/23,-27,UCL,Inter,6.045,95.809,"0,0"
22/23 · UCL · Inter,22/23,-26,UCL,Inter,5.962,101.771,"0,0"
22/23 · UCL · Inter,22/23,-25,UCL,Inter,6.935,108.706,"0,0"
22/23 · UCL · Inter,22/23,-24,UCL,Inter,6.365,115.071,"0,0"
22/23 · UCL · Inter,22/23,-23,UCL,Inter,6.114,121.185,"0,0"
22/23 · UCL · Inter,22/23,-22,UCL,Inter,5.081,126.266,"0,0"
22/23 · UCL · Inter,22/23,-21,UCL,Inter,4.687,130.953,"0,0"
22/23 · UCL · Inter,22/23,-20,UCL,Inter,,,
22/23 · UCL · Inter,22/23,-19,UCL,Inter,,,
22/23 · UCL · Inter,22/23,-18,UCL,Inter,,,
22/23 · UCL · Inter,22/23,-17,UCL,Inter,,,
22/23 · UCL · Inter,22/23,-16,UCL,Inter,,,
22/23 · UCL · Inter,22/23,-15,UCL,Inter,,,
22/23 · UCL · Inter,22/23,-14,UCL,Inter,,,
22/23 · UCL · Inter,22/23,-13,UCL,Inter,,,
22/23 · UCL · Inter,22/23,-12,UCL,Inter,,,
22/23 · UCL · Inter,22/23,-11,UCL,Inter,,,
22/23 · UCL · Inter,22/23,-10,UCL,Inter,,,
22/23 · UCL · Inter,22/23,-9,UCL,Inter,,,
22/23 · UCL · Inter,22/23,-8,UCL,Inter,,,
22/23 · UCL · Inter,22/23,-7,UCL,Inter,,,
22/23 · UCL · Inter,22/23,-6,UCL,Inter,,,
22/23 · UCL · Inter,22/23,-5,UCL,Inter,,,
22/23 · UCL · Inter,22/23,-4,UCL,Inter,,,
22/23 · UCL · Inter,22/23,-3,UCL,Inter,,,
22/23 · UCL · Inter,22/23,-2,UCL,Inter,,,
22/23 · UCL · Inter,22/23,-1,UCL,Inter,,,
22/23 · UCL · Inter,22/23,0,UCL,Inter,,,
22/23 · LaLiga · Real Valladolid,22/23,-55,LaLiga,Real Valladolid,616,616,"5,6"
22/23 · LaLiga · Real Valladolid,22/23,-54,LaLiga,Real Valladolid,675,1.291,"3,4"
22/23 · LaLiga · Real Valladolid,22/23,-53,LaLiga,Real Valladolid,1.080,2.371,"1,5"
22/23 · LaLiga · Real Valladolid,22/23,-52,LaLiga,Real Valladolid,1.570,3.941,"9,9"
22/23 · LaLiga · Real Valladolid,22/23,-51,LaLiga,Real Valladolid,904,4.845,"10,2"
22/23 · LaLiga · Real Valladolid,22/23,-50,LaLiga,Real Valladolid,640,5.485,"7,3"
22/23 · LaLiga · Real Valladolid,22/23,-49,LaLiga,Real Valladolid,762,6.247,"6,3"
22/23 · LaLiga · Real Valladolid,22/23,-48,LaLiga,Real Valladolid,1.005,7.252,"5,4"
22/23 · LaLiga · Real Valladolid,22/23,-47,LaLiga,Real Valladolid,811,8.063,"7,8"
22/23 · LaLiga · Real Valladolid,22/23,-46,LaLiga,Real Valladolid,826,8.889,"7,2"
22/23 · LaLiga · Real Valladolid,22/23,-45,LaLiga,Real Valladolid,825,9.714,"6,0"
22/23 · LaLiga · Real Valladolid,22/23,-44,LaLiga,Real Valladolid,1.424,11.138,"6,2"
22/23 · LaLiga · Real Valladolid,22/23,-43,LaLiga,Real Valladolid,1.952,13.090,"8,3"
22/23 · LaLiga · Real Valladolid,22/23,-42,LaLiga,Real Valladolid,2.001,15.091,"10,3"
22/23 · LaLiga · Real Valladolid,22/23,-41,LaLiga,Real Valladolid,1.713,16.804,"4,6"
22/23 · LaLiga · Real Valladolid,22/23,-40,LaLiga,Real Valladolid,1.396,18.200,"6,3"
22/23 · LaLiga · Real Valladolid,22/23,-39,LaLiga,Real Valladolid,2.015,20.215,"5,1"
22/23 · LaLiga · Real Valladolid,22/23,-38,LaLiga,Real Valladolid,1.653,21.868,"8,1"
22/23 · LaLiga · Real Valladolid,22/23,-37,LaLiga,Real Valladolid,1.287,23.155,"11,7"
22/23 · LaLiga · Real Valladolid,22/23,-36,LaLiga,Real Valladolid,1.079,24.234,"5,3"
22/23 · LaLiga · Real Valladolid,22/23,-35,LaLiga,Real Valladolid,1.404,25.638,"4,7"
22/23 · LaLiga · Real Valladolid,22/23,-34,LaLiga,Real Valladolid,1.487,27.125,"5,0"
22/23 · LaLiga · Real Valladolid,22/23,-33,LaLiga,Real Valladolid,1.534,28.659,"6,3"
22/23 · LaLiga · Real Valladolid,22/23,-32,LaLiga,Real Valladolid,1.350,30.009,"5,2"
22/23 · LaLiga · Real Valladolid,22/23,-31,LaLiga,Real Valladolid,1.727,31.736,"5,9"
22/23 · LaLiga · Real Valladolid,22/23,-30,LaLiga,Real Valladolid,1.444,33.180,"6,3"
22/23 · LaLiga · Real Valladolid,22/23,-29,LaLiga,Real Valladolid,1.344,34.524,"5,0"
22/23 · LaLiga · Real Valladolid,22/23,-28,LaLiga,Real Valladolid,1.738,36.262,"6,4"
22/23 · LaLiga · Real Valladolid,22/23,-27,LaLiga,Real Valladolid,2.299,38.561,"7,4"
22/23 · LaLiga · Real Valladolid,22/23,-26,LaLiga,Real Valladolid,1.888,40.449,"10,3"
22/23 · LaLiga · Real Valladolid,22/23,-25,LaLiga,Real Valladolid,1.503,41.952,"5,5"
22/23 · LaLiga · Real Valladolid,22/23,-24,LaLiga,Real Valladolid,2.170,44.122,"5,1"
22/23 · LaLiga · Real Valladolid,22/23,-23,LaLiga,Real Valladolid,2.325,46.447,"5,0"
22/23 · LaLiga · Real Valladolid,22/23,-22,LaLiga,Real Valladolid,1.846,48.293,"5,4"
22/23 · LaLiga · Real Valladolid,22/23,-21,LaLiga,Real Valladolid,3.322,51.615,"3,8"
22/23 · LaLiga · Real Valladolid,22/23,-20,LaLiga,Real Valladolid,3.407,55.022,"5,7"
22/23 · LaLiga · Real Valladolid,22/23,-19,LaLiga,Real Valladolid,2.787,57.809,"5,6"
22/23 · LaLiga · Real Valladolid,22/23,-18,LaLiga,Real Valladolid,2.715,60.524,"6,3"
22/23 · LaLiga · Real Valladolid,22/23,-17,LaLiga,Real Valladolid,2.342,62.866,"7,3"
22/23 · LaLiga · Real Valladolid,22/23,-16,LaLiga,Real Valladolid,2.260,65.126,"6,6"
22/23 · LaLiga · Real Valladolid,22/23,-15,LaLiga,Real Valladolid,3.884,69.010,"4,6"
22/23 · LaLiga · Real Valladolid,22/23,-14,LaLiga,Real Valladolid,4.995,74.005,"3,7"
22/23 · LaLiga · Real Valladolid,22/23,-13,LaLiga,Real Valladolid,3.208,77.213,"5,9"
22/23 · LaLiga · Real Valladolid,22/23,-12,LaLiga,Real Valladolid,2.932,80.145,"6,7"
22/23 · LaLiga · Real Valladolid,22/23,-11,LaLiga,Real Valladolid,3.111,83.256,"6,1"
22/23 · LaLiga · Real Valladolid,22/23,-10,LaLiga,Real Valladolid,2.632,85.888,"6,6"
22/23 · LaLiga · Real Valladolid,22/23,-9,LaLiga,Real Valladolid,2.464,88.352,"7,4"
22/23 · LaLiga · Real Valladolid,22/23,-8,LaLiga,Real Valladolid,2.549,90.901,"6,2"
22/23 · LaLiga · Real Valladolid,22/23,-7,LaLiga,Real Valladolid,3.580,94.481,"6,0"
22/23 · LaLiga · Real Valladolid,22/23,-6,LaLiga,Real Valladolid,5.833,100.314,"6,2"
22/23 · LaLiga · Real Valladolid,22/23,-5,LaLiga,Real Valladolid,5.064,105.378,"7,2"
22/23 · LaLiga · Real Valladolid,22/23,-4,LaLiga,Real Valladolid,8.013,113.391,"5,6"
22/23 · LaLiga · Real Valladolid,22/23,-3,LaLiga,Real Valladolid,11.556,124.947,"5,6"
22/23 · LaLiga · Real Valladolid,22/23,-2,LaLiga,Real Valladolid,10.633,135.580,"7,2"
22/23 · LaLiga · Real Valladolid,22/23,-1,LaLiga,Real Valladolid,14.244,149.824,"6,7"
22/23 · LaLiga · Real Valladolid,22/23,0,LaLiga,Real Valladolid,19.139,168.963,"6,3"
22/23 · LaLiga · Rayo Vallecano,22/23,-40,LaLiga,Rayo Vallecano,1.599,1.599,"4,5"
22/23 · LaLiga · Rayo Vallecano,22/23,-39,LaLiga,Rayo Vallecano,1.960,3.559,"2,0"
22/23 · LaLiga · Rayo Vallecano,22/23,-38,LaLiga,Rayo Vallecano,2.871,6.430,"1,1"
22/23 · LaLiga · Rayo Vallecano,22/23,-37,LaLiga,Rayo Vallecano,3.571,10.001,"11,3"
22/23 · LaLiga · Rayo Vallecano,22/23,-36,LaLiga,Rayo Vallecano,1.878,11.879,"8,8"
22/23 · LaLiga · Rayo Vallecano,22/23,-35,LaLiga,Rayo Vallecano,1.363,13.242,"8,7"
22/23 · LaLiga · Rayo Vallecano,22/23,-34,LaLiga,Rayo Vallecano,1.481,14.723,"7,1"
22/23 · LaLiga · Rayo Vallecano,22/23,-33,LaLiga,Rayo Vallecano,1.760,16.483,"5,2"
22/23 · LaLiga · Rayo Vallecano,22/23,-32,LaLiga,Rayo Vallecano,1.528,18.011,"7,9"
22/23 · LaLiga · Rayo Vallecano,22/23,-31,LaLiga,Rayo Vallecano,1.682,19.693,"8,4"
22/23 · LaLiga · Rayo Vallecano,22/23,-30,LaLiga,Rayo Vallecano,1.521,21.214,"6,1"
22/23 · LaLiga · Rayo Vallecano,22/23,-29,LaLiga,Rayo Vallecano,2.696,23.910,"5,2"
22/23 · LaLiga · Rayo Vallecano,22/23,-28,LaLiga,Rayo Vallecano,3.696,27.606,"7,0"
22/23 · LaLiga · Rayo Vallecano,22/23,-27,LaLiga,Rayo Vallecano,3.778,31.384,"8,6"
22/23 · LaLiga · Rayo Vallecano,22/23,-26,LaLiga,Rayo Vallecano,3.353,34.737,"4,0"
22/23 · LaLiga · Rayo Vallecano,22/23,-25,LaLiga,Rayo Vallecano,2.579,37.316,"5,3"
22/23 · LaLiga · Rayo Vallecano,22/23,-24,LaLiga,Rayo Vallecano,4.011,41.327,"4,3"
22/23 · LaLiga · Rayo Vallecano,22/23,-23,LaLiga,Rayo Vallecano,3.095,44.422,"6,8"
22/23 · LaLiga · Rayo Vallecano,22/23,-22,LaLiga,Rayo Vallecano,2.168,46.590,"7,4"
22/23 · LaLiga · Rayo Vallecano,22/23,-21,LaLiga,Rayo Vallecano,2.035,48.625,"6,0"
22/23 · LaLiga · Rayo Vallecano,22/23,-20,LaLiga,Rayo Vallecano,2.737,51.362,"4,9"
22/23 · LaLiga · Rayo Vallecano,22/23,-19,LaLiga,Rayo Vallecano,2.924,54.286,"6,1"
22/23 · LaLiga · Rayo Vallecano,22/23,-18,LaLiga,Rayo Vallecano,2.940,57.226,"6,1"
